sampling0_fold0,0.9962,0.9966,0.9964,0.9963,0.9964,0.9965,0.9966,0.9963,0.9966,,,,,,,
sampling0_fold1,0.9965,0.9965,0.9964,0.9965,0.9964,0.9966,0.9962,0.9966,0.9967,0.9963,0.9965,0.9962,,,,
sampling1_fold0,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,,,,,
sampling1_fold1,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,,,,,,
sampling2_fold0,0.9991,0.9991,0.9991,0.999,0.9991,0.9992,0.9991,0.9991,0.999,0.999,0.9991,0.999,,,,
sampling2_fold1,0.8836,0.9,0.8955,0.8638,0.9202,0.8845,0.8858,0.8967,0.8115,,,,,,,
sampling3_fold0,0.9858,0.9816,0.9836,0.9839,0.9863,0.9831,0.984,0.9786,0.9859,0.9861,0.9855,,,,,
sampling3_fold1,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,,,,,,
sampling4_fold0,0.9985,0.9985,0.9985,0.9984,0.9985,0.9984,0.9985,0.9984,0.9985,0.9985,0.9984,0.9984,0.9985,,,
sampling4_fold1,0.9925,0.9918,0.9917,0.992,0.9926,0.9927,0.9917,0.9916,,,,,,,,
sampling5_fold0,0.9982,0.9982,0.9984,0.9982,0.9982,0.9983,0.9982,0.9982,0.9983,0.9982,0.9984,,,,,
sampling5_fold1,0.9993,0.9993,0.9994,0.9993,0.9993,0.9994,0.9994,0.9993,0.9993,0.9993,,,,,,
sampling6_fold0,0.9869,0.9864,0.9896,0.9886,0.9863,0.9885,0.9864,0.9878,0.9837,,,,,,,
sampling6_fold1,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9998,0.9997,0.9997,0.9998,0.9998,0.9997,,,,
sampling7_fold0,0.9979,0.9979,0.9981,0.998,0.998,0.9979,0.9979,0.9979,0.998,0.998,0.998,0.998,,,,
sampling7_fold1,0.9927,0.993,0.9924,0.9918,0.9925,0.9929,0.9926,0.9927,0.9928,,,,,,,
sampling8_fold0,0.9841,0.9825,0.9818,0.9829,0.983,0.9824,0.9827,0.9812,0.9823,0.9819,0.9822,0.9813,,,,
sampling8_fold1,0.9986,0.9986,0.9986,0.9986,0.9985,0.9986,0.9985,0.9986,0.9986,,,,,,,
sampling9_fold0,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994
sampling9_fold1,0.9814,0.9818,0.9814,0.9804,0.9826,,,,,,,,,,,
sampling10_fold0,0.9987,0.9985,0.9984,0.9985,0.9987,0.9987,0.9984,0.9986,0.9986,0.9986,0.9985,0.9986,0.9985,,,
sampling10_fold1,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,,,,,,,,
sampling11_fold0,0.9914,0.9909,0.9911,0.9905,0.9911,0.9902,0.9915,0.9905,,,,,,,,
sampling11_fold1,0.9987,0.9988,0.9989,0.9988,0.9989,0.9987,0.9988,0.9988,0.999,0.9988,0.9988,0.9988,0.9988,,,
sampling12_fold0,0.9915,0.9908,0.9907,0.9904,0.9907,0.9913,0.9906,0.991,0.9908,0.9918,0.9899,0.9908,0.9907,,,
sampling12_fold1,0.9934,0.9932,0.9937,0.9937,0.9933,0.9933,0.9937,0.9932,,,,,,,,
sampling13_fold0,0.9819,0.9839,0.9837,0.9843,0.9837,0.9831,0.9831,0.9833,0.9834,0.9827,0.9846,0.9831,0.9836,0.9836,0.9823,
sampling13_fold1,0.9886,0.9881,0.9882,0.9888,0.9887,0.9882,,,,,,,,,,
sampling14_fold0,0.9984,0.9986,0.9989,0.9988,0.9985,0.9985,0.9987,0.9985,0.9984,0.9989,,,,,,
sampling14_fold1,0.9968,0.9967,0.9967,0.9968,0.9969,0.9968,0.9967,0.9965,0.9966,0.9968,0.9967,,,,,
sampling15_fold0,0.9935,0.9937,0.9927,0.9932,0.9938,0.9939,0.9942,0.9938,0.9945,0.9928,0.9942,0.9933,,,,
sampling15_fold1,0.9958,0.9948,0.9956,0.9952,0.9957,0.996,0.9958,0.9955,0.9956,,,,,,,
sampling16_fold0,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,,,,
sampling16_fold1,0.9986,0.9985,0.9986,0.9985,0.9986,0.9986,0.9984,0.9986,0.9986,,,,,,,
sampling17_fold0,0.9954,0.9957,0.9948,0.9959,0.995,0.9959,0.9955,0.9955,0.9958,0.9953,0.996,,,,,
sampling17_fold1,0.9995,0.9994,0.9994,0.9992,0.9993,0.9993,0.9994,0.9993,0.9994,0.9994,,,,,,
sampling18_fold0,0.9985,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9987,,,,,,
sampling18_fold1,0.9866,0.9884,0.9872,0.9874,0.9878,0.9889,0.9872,0.988,0.9895,0.9895,0.9896,,,,,
sampling19_fold0,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,,,,,,
sampling19_fold1,0.9953,0.9961,0.9958,0.9958,0.9956,0.9956,0.9959,0.9962,0.9952,0.9962,0.9957,,,,,
sampling20_fold0,0.9994,0.9994,0.9995,0.9995,0.9995,0.9995,0.9995,0.9994,0.9994,0.9994,0.9994,0.9995,,,,
sampling20_fold1,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,,,,,,,
